Item Number,Item Description,Qty ,,Price,Department Name,,,,,,,,,,,,,,,,
1,PRITT GLUE 225g,0,,"$2,407.00",Stationery,,,,,,,,,,,,,,,,
2,Exploring Chemistry Grade 9,7,,"$4,682.00",Books,,,,,,,,,,,,,,,,
3,Glitter twin pocket folder,2,,"$3,665.00",Stationery,,,,,,,,,,,,,,,,
4,TYPING,301,,"$3,802.00",SERVICE,,,,,,,,,,,,,,,,
5,THE HOLY BIBLE {SCHOOL},2,,"$4,014.00",Books,,,,,,,,,,,,,,,,
6,SINGLE LINE BOOK,5,,$356.00,Books,,,,,,,,,,,,,,,,
7,SCRAP BOOK SMALL P/M,0,,"$4,492.00",Stationery,,,,,,,,,,,,,,,,
8,COVER UP DELI,2,,"$4,732.00",Stationery,,,,,,,,,,,,,,,,
9,COLOURING THE SMART WAY{ 4 YEARS OLD },43,,"$2,561.00",Books,,,,,,,,,,,,,,,,
10,LEARNING TO COLOUR {3 YEARS OLD},7,,"$2,385.00",Books,,,,,,,,,,,,,,,,
11,Jplly Phonica WKBK 6,2,,$824.00,Books,,,,,,,,,,,,,,,,
12,Integrated Fun With Sounds,0,,"$3,583.00",Books,,,,,,,,,,,,,,,,
13,MEAD COMPOSITION BOOK,1252,,"$1,856.00",Books,,,,,,,,,,,,,,,,
52,Gateway to Literacy  Language Arts  BK2,14,,"$3,794.00",Books,,,,,,,,,,,,,,,,
53,Gateway To Numeracy Mathematics Book 2,8,,"$2,691.00",Books,,,,,,,,,,,,,,,,
54,Rediscovering Mathematics Grade 2,5,,"$1,394.00",Books,,,,,,,,,,,,,,,,
55,PRIME MATHEMATICS  Coursebook 2,2,,"$4,610.00",Books,,,,,,,,,,,,,,,,
56,Collins Mental Maths Ages 5-6,0,,$779.00,Books,,,,,,,,,,,,,,,,
57,Collins Mental Maths Ages 8-9,13,,"$1,045.00",Books,,,,,,,,,,,,,,,,
58,Collins Mental Maths Ages 10-11,8,,"$3,767.00",Books,,,,,,,,,,,,,,,,
59,Collins Mental Maths Ages 6-7,0,,"$2,917.00",Books,,,,,,,,,,,,,,,,
60,Collins Mental Maths Ages 7-8,2,,$412.00,Books,,,,,,,,,,,,,,,,
61,Collins Phonics and Spelling 4-5,1,,"$1,472.00",Books,,,,,,,,,,,,,,,,
62,Collins Phonics and Spelling 9-10,0,,"$2,291.00",Books,,,,,,,,,,,,,,,,
63,Phonics and Spelling 10-11,0,,$205.00,Books,,,,,,,,,,,,,,,,
64,FIRST CHOICE COMPUTER  WKBK2,3,,"$3,515.00",Books,,,,,,,,,,,,,,,,
65,FIRST CHOICE COMPUTER  WKBK 3,1,,"$2,262.00",Books,,,,,,,,,,,,,,,,
66,FIRST CHOICE COMPUTER  WKBK 5,3,,"$4,501.00",Books,,,,,,,,,,,,,,,,
67,FIRST CHOICE COMPUTER 4,2,,"$3,083.00",Books,,,,,,,,,,,,,,,,
