SKU,Item Number,Item Description,Qty,Price,Department Name,Category,Item Type,Store
1001,1,"Acer Swift 3 Thin & Light Laptop | 14"" Full HD IPS 100% sRGB Display",21,"$94,241 ",Electronics,Computers,Laptops,Acrostra
1002,2,"Acer Swift X SFX14-41G-R1S6 Creator Laptop | 14"" Full HD 100% sRGB",28,"$71,233 ",Electronics,Computers,Laptops,Acrostra
1003,3,Asus ZenBook Flip 13 UX362FA Laptop (8th Gen Core i7/ 8GB/ 512GB SSD/ Win10),10,"$84,402 ",Electronics,Computers,Laptops,Acrostra
1004,4,Asus ZenBook Flip 14 UM462DA-AI501TS Laptop (AMD Quad Core R5/ 8GB/ 512GB SSD/ Win10),11,"$81,305 ",Electronics,Computers,Laptops,Acrostra
1005,5,Asus ROG Strix Scar III G531GU-ES016T Gaming Laptop (9th Gen Core i7/ 16GB/ 1TB SSD/ Win10/ 6GB Graph),30,"$83,776 ",Electronics,Computers,Laptops,Acrostra
1006,6,Asus ROG Strix G G731GT-AU041T Gaming Laptop (9th Gen Core i5/ 8GB/ 512GB SSD/ Win10/ 4GB Graph),26,"$129,832 ",Electronics,Computers,Laptops,Acrostra
1007,7,HP EliteBook x360 (4SU65UT) Laptop (8th Gen Core i5/ 8GB/ 1TB 256GB SSD/ 8GB EMMC/ Win10/ 2GB Graph),26,"$97,201 ",Electronics,Computers,Laptops,Acrostra
1008,8,Asus ZenBook 14 UM431DA Laptop (3rd Gen Ryzen 5/ 8GB/ 512GB SSD/ Win10),16,"$61,328 ",Electronics,Computers,Laptops,Acrostra
1009,9,Acer Nitro AN515-54 (NH.Q5BSI.002) Gaming Laptop (9th Gen Core i7/ 8GB/ 2TB 256GB SSD/ Win10/ 6GB Graph),14,"$78,977 ",Electronics,Computers,Laptops,Acrostra
1010,10,HP 15-di0002tu (8WN01PA) Laptop (7th Gen Core i3/ 4GB/ 1TB HDD/ Win10),23,"$144,140 ",Electronics,Computers,Laptops,Acrostra
1011,11,HP 250 G7 (7HA07PA) Laptop (7th Gen Core i3/ 2GB/ 1TB 1TB SSD/ Win10),20,"$131,663 ",Electronics,Computers,Laptops,Acrostra
1012,12,Dell Inspiron 15 3583 Laptop (7th Gen Pentium Gold/ 4GB/ 1TB/ Win10),15,"$112,419 ",Electronics,Computers,Laptops,Acrostra
1013,13,HP 15-db0244au Laptop (AMD A9/ 4 GB/ 1 TB/ Win 10),22,"$145,727 ",Electronics,Computers,Laptops,Acrostra
1014,14,Lenovo Ideapad 130 81H700BUIN Laptop (7th Gen Core i3/ 4GB/ 1TB/ Win 10),21,"$132,280 ",Electronics,Computers,Laptops,Acrostra
1015,15,HP 250 G7 (7HA07PA) Laptop (7th Gen Core i3/ 4GB/ 1TB/ Win10),12,"$31,524 ",Electronics,Computers,Laptops,Acrostra
1016,16,Lenovo Legion Y540 (81SY00C8IN) Gaming Laptop (9th Gen Core i7/ 16GB/ 1TB SSD/ Win10/ 4GB Graph),27,"$111,356 ",Electronics,Computers,Laptops,Acrostra
