"Item Number","Item Description","Qty 1","UPC","On Order Qty","Department Name","","","","","","","","","","","","","","","",""
"1","PRITT GLUE 225g","0","7501199404073","0","Stationery","","","","","","","","","","","","","","","",""
"2","Exploring Chemistry Grade 9","7","9780008244200","0","Books","","","","","","","","","","","","","","","",""
"3","Glitter twin pocket folder","-2","0114910614636","0","Stationery","","","","","","","","","","","","","","","",""
"4","TYPING","-301.25","","0","SERVICE","","","","","","","","","","","","","","","",""
"5","THE HOLY BIBLE {SCHOOL}","-2","","0","Books","","","","","","","","","","","","","","","",""
"6","SINGLE LINE BOOK","5","0782151989136","0","Books","","","","","","","","","","","","","","","",""
"7","SCRAP BOOK SMALL P/M","0","","0","Stationery","","","","","","","","","","","","","","","",""
"8","COVER UP DELI","2","6935205392992","0","Stationery","","","","","","","","","","","","","","","",""
"9","COLOURING THE SMART WAY{ 4 YEARS OLD }","43","0855106003031","0","Books","","","","","","","","","","","","","","","",""
"10","LEARNING TO COLOUR {3 YEARS OLD}","7","0855106003055","0","Books","","","","","","","","","","","","","","","",""
"11","Jplly Phonica WKBK 6","2","9781870946568","0","Books","","","","","","","","","","","","","","","",""
"12","Integrated Fun With Sounds","0","0855106003086","0","Books","","","","","","","","","","","","","","","",""
"13","MEAD COMPOSITION BOOK","1252","0043100099185","0","Books","","","","","","","","","","","","","","","",""
"52","Gateway to Literacy  Language Arts  BK2","14","9789766381165","0","Books","","","","","","","","","","","","","","","",""
"53","Gateway To Numeracy Mathematics Book 2","8","9789766381172","0","Books","","","","","","","","","","","","","","","",""
"54","Rediscovering Mathematics Grade 2","5","9789768245342","0","Books","","","","","","","","","","","","","","","",""
"55","PRIME MATHEMATICS  Coursebook 2","2","9789814769891","0","Books","","","","","","","","","","","","","","","",""
"56","Collins Mental Maths Ages 5-6","0","9780007457892","0","Books","","","","","","","","","","","","","","","",""
"57","Collins Mental Maths Ages 8-9","13","9780007457922","0","Books","","","","","","","","","","","","","","","",""
"58","Collins Mental Maths Ages 10-11","8","9780007457946","0","Books","","","","","","","","","","","","","","","",""
"59","Collins Mental Maths Ages 6-7","0","9780007457908","0","Books","","","","","","","","","","","","","","","",""
"60","Collins Mental Maths Ages 7-8","2","9780007457915","0","Books","","","","","","","","","","","","","","","",""
"61","Collins Phonics and Spelling 4-5","1","9780007452323","0","Books","","","","","","","","","","","","","","","",""
"62","Collins Phonics and Spelling 9-10","0","9780007452392","0","Books","","","","","","","","","","","","","","","",""
"63","Phonics and Spelling 10-11","0","9780007452408","0","Books","","","","","","","","","","","","","","","",""
"64","FIRST CHOICE COMPUTER  WKBK2","3","9789769518575","0","Books","","","","","","","","","","","","","","","",""
"65","FIRST CHOICE COMPUTER  WKBK 3","1","9789769518582","0","Books","","","","","","","","","","","","","","","",""
"66","FIRST CHOICE COMPUTER  WKBK 5","3","9789769560703","0","Books","","","","","","","","","","","","","","","",""
"67","FIRST CHOICE COMPUTER 4","2","9789769518599","0","Books","","","","","","","","","","","","","","","",""
"68","Spanish Today Book3","6","9780981380759","0","Books","","","","","","","","","","","","","","","",""
"69","Spanish Today Book  4","8","9781927395028","0","Books","","","","","","","","","","","","","","","",""
"70","Spanish Today Book  5","1","9781927395035","0","Books","","","","","","","","","","","","","","","",""
"71","Spanish Today Book  6","8","9781927395042","0","Books","","","","","","","","","","","","","","","",""
"72","Spanish Today Book2","0","9780981380728","0","Books","","","","","","","","","","","","","","","",""
"73","SPELLING  BEE","0","","0","Books","","","","","","","","","","","","","","","",""
"74","Spanish Today Book 1","4","9780981380711","0","Books","","","","","","","","","","","","","","","",""
"75","Adventures  Primary Mathematics Book  2","5","9789766382148","0","Books","","","","","","","","","","","","","","","",""
"76","PLASTIC TAB DIVIDERS","17","0072782114657","0","Stationery","","","","","","","","","","","","","","","",""
"77","2 Quire Book","0","0859191000173","0","Stationery","","","","","","","","","","","","","","","",""
"78","3 Quire Book","0","0859191000180","0","Stationery","","","","","","","","","","","","","","","",""
"79","4 Quire Book","0","0859191000197","0","Stationery","","","","","","","","","","","","","","","",""
"304","Get Ready To Learn TRM3 5 YRS","11","9789766060480","0","Books","","","","","","","","","","","","","","","",""
"305","INTEGRATED WORK BOOK  AG 4","8","9789766060336","0","Books","","","","","","","","","","","","","","","",""
"306","GET READY TO LEARN TERM 1 5YRS","21","9789766060442","0","Books","","","","","","","","","","","","","","","",""
"307","Get Ready To Learn Transportation TRM2 5 YRS","1","9789766060459","0","Books","","","","","","","","","","","","","","","",""
"308","Get Ready To Learn TRM3 5 YRS","7","9789766060367","0","Books","","","","","","","","","","","","","","","",""
"309","Way to reading integrated Pre reader","7","9789768007179","0","Books","","","","","","","","","","","","","","","",""
"310","The Way to Reading Book 1","9","9789768007001","0","Books","","","","","","","","","","","","","","","",""
"311","The way to shapes colouring","13","9789768007155","0","Books","","","","","","","","","","","","","","","",""
"312","The Way to Art - Using Colours","10","9789768007070","0","Books","","","","","","","","","","","","","","","",""
"313","The way to Writing Drawing","9","9789768007056","0","Books","","","","","","","","","","","","","","","",""
"314","Way to Writing book 1","6","9789768007261","0","Books","","","","","","","","","","","","","","","",""
"315","The Way to Numbers","8","9789768007049","0","Books","","","","","","","","","","","","","","","",""
"316","Rainbow Readers Family & Friends Yr 1 Reader 1","4","9789768185778","0","Books","","","","","","","","","","","","","","","",""
"14","Leaning the Smart Way","0","0855106003185","0","Books","","","","","","","","","","","","","","","",""
"15","Integrated Reader 1","10","0855106003208","0","Books","","","","","","","","","","","","","","","",""
"16","Reading the Smart Way","11","0855106003246","0","Books","","","","","","","","","","","","","","","",""
